,FacilityName,FacilityAddress,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
149,Engine 325/Ladder 163,41-24 51st Street,Queens,11377.0,40.745335,-73.913527,2.0,26.0,25302.0,4000979.0,4001310031.0,Hunters Point-Sunnyside-West Maspeth                                       
150,Engine 259/Ladder 128/Battalion 45,33-51 Greenpoint Avenue,Queens,11101.0,40.735960999999996,-73.933706,2.0,26.0,199.0,4003673.0,4003070029.0,Hunters Point-Sunnyside-West Maspeth                                       
151,Engine 260,11-15 37th Avenue,Queens,11101.0,40.759696000000005,-73.940603,1.0,26.0,85.0,4004305.0,4003520035.0,Queensbridge-Ravenswood-Long Island City                                   
153,Engine 262,30-89 21st Street,Queens,11102.0,40.767664,-73.929574,1.0,22.0,79.0,4006338.0,4005510016.0,Old Astoria                                                                
154,Engine 263/Ladder 117/Battalion 49,42-06 Astoria Boulevard,Queens,11103.0,40.768508000000004,-73.908822,1.0,22.0,141.0,4011565.0,4006880017.0,Astoria                                                                    
155,Engine 312,22-63 35th Street,Queens,11105.0,40.773796000000004,-73.91019399999999,1.0,22.0,117.0,4016405.0,4008220007.0,Steinway                                                                   
157,Engine 289/Ladder 138,97-28 43rd Avenue,Queens,11368.0,40.746168,-73.866158,4.0,21.0,409.0,4040712.0,4016280018.0,North Corona                                                               
158,Engine 316,27-12 Kearney Street,Queens,11369.0,40.762621,-73.869024,3.0,21.0,367.0,4041276.0,4016580005.0,East Elmhurst                                                              
159,Engine 324/Division 14,108-01 Horace Harding Blvd.,Queens,11368.0,40.737732,-73.851904,4.0,21.0,43701.0,4048310.0,4019640065.0,Corona                                                                     
160,Eng 292/Rescue 4,64-18 Queens Boulevard,Queens,11377.0,40.741049,-73.900971,2.0,26.0,245.0,4053652.0,4023250037.0,Woodside                                                                   
161,Squad 288/Hazmat 1,56-29 68th Street,Queens,11378.0,40.72625,-73.896512,5.0,30.0,511.0,4055348.0,4023950004.0,Maspeth                                                                    
162,Engine 287/Ladder 136/Battalion 46,86-53 Grand Avenue,Queens,11373.0,40.736156,-73.87905,4.0,25.0,475.0,4057367.0,4024770026.0,Elmhurst                                                                   
163,Engine 291/Ladder 140,56-07 Metropolitan Avenue,Queens,11385.0,40.71295,-73.906791,5.0,30.0,595.0,4440960.0,4026460018.0,Ridgewood                                                                  
164,Engine 305/Ladder 151,111-02 Queens Boulevard,Queens,11375.0,40.718522,-73.837437,6.0,29.0,76901.0,4078827.0,4032940020.0,Forest Hills                                                               
165,Engine 286/Ladder 135,66-44 Myrtle Avenue,Queens,11385.0,40.701448,-73.88674,5.0,30.0,629.0,4090228.0,4037000021.0,Glendale                                                                   
166,Engine 319,78-11 67th Road,Queens,11379.0,40.712445,-73.87500899999999,5.0,30.0,621.0,4091550.0,4037760056.0,Middle Village                                                             
167,Engine 297/Ladder 130,119-11 14th Road,Queens,11356.0,40.784806,-73.848387,7.0,19.0,929.0,4098032.0,4040540017.0,College Point                                                              
168,Engine 295/Ladder 144,12-49 149th Street,Queens,11357.0,40.789118,-73.81633000000001,7.0,19.0,981.0,4102462.0,4045050007.0,Whitestone                                                                 
169,Engine 273/Ladder 129,40-18 Union Street,Queens,11354.0,40.760003000000005,-73.826312,7.0,20.0,853.0,4113561.0,4050190066.0,Flushing                                                                   
170,Engine 274/Battalion 52,41-20 Murray Street,Queens,11355.0,40.762562,-73.812512,7.0,20.0,1167.0,4114925.0,4050580037.0,Murray Hill                                                                
171,Engine 320/Ladder 167,36-18 Francis Lewis Boulevard,Queens,11358.0,40.763428000000005,-73.78661600000001,11.0,19.0,1139.0,4120143.0,4053190008.0,Auburndale                                                                 
172,Engine 306/Battalion 53,40-18 214th Place,Queens,11361.0,40.764348,-73.76959599999999,11.0,19.0,1123.0,4138284.0,4062880032.0,Bayside-Bayside Hills                                                      
173,Engine 315/Ladder 125,159-06 Union Turnpike,Queens,11366.0,40.720329,-73.807761,8.0,24.0,1265.0,4148377.0,4068540028.0,Pomonok-Flushing Heights-Hillcrest                                         
174,Engine 299/Ladder 152,61-20 Utopia Parkway,Queens,11365.0,40.738613,-73.792967,8.0,24.0,1341.0,4148798.0,4068910003.0,Fresh Meadows-Utopia                                                       
175,Engine 326/Ladder 160,64-04 Springfield Boulevard,Queens,11364.0,40.747071000000005,-73.75568100000001,11.0,23.0,1367.0,4162454.0,4076210012.0,Oakland Gardens                                                            
