,FacilityName,FacilityAddress,Borough,Postcode,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
44,Engine 67,518 West 170th Street,Manhattan,10032.0,40.841394,-73.936836,12.0,10.0,253.0,1063024.0,1021260034.0,Washington Heights South                                                   
45,Engine 93/Ladder 45/Battalion 13,515 West 181st Street,Manhattan,10033.0,40.848397999999996,-73.931516,12.0,10.0,269.0,1075518.0,1021550030.0,Washington Heights North                                                   
46,Engine 95/Ladder 36,29 Vermilyea Avenue,Manhattan,10034.0,40.864975,-73.925403,12.0,10.0,291.0,1064801.0,1022240015.0,Marble Hill-Inwood                                                         
48,Engine 60/Ladder 17/Battalion 14,341 East 143rd Street,Bronx,10454.0,40.813024,-73.922395,1.0,8.0,41.0,2000656.0,2023060052.0,Mott Haven-Port Morris                                                     
49,Squad 41,330 East 150th Street,Bronx,10451.0,40.817502000000005,-73.92036999999999,1.0,17.0,65.0,2000930.0,2023310033.0,Melrose South-Mott Haven North                                             
50,Engine 71/Ladder 55/Division 6,720 Melrose Avenue,Bronx,10455.0,40.820422,-73.915778,1.0,17.0,69.0,2001400.0,2023770001.0,Melrose South-Mott Haven North                                             
51,Engine 50/Ladder 19,1155 Washington Avenue,Bronx,10456.0,40.829652,-73.907831,3.0,16.0,185.0,2001584.0,2023880045.0,Morrisania-Melrose                                                         
52,Engine 92/Ladder 44/Battalion 17,1259 Morris Avenue,Bronx,10456.0,40.834627000000005,-73.91331,4.0,16.0,17901.0,2096490.0,2024500040.0,East Concourse-Concourse Village                                           
53,EMS Station 17 ,1080 Ogden Avenue,Bronx,10452.0,40.835037,-73.92817600000001,4.0,8.0,193.0,2003255.0,2025140009.0,Highbridge                                                                 
54,Engine 68/Ladder 49,1160 Ogden Avenue ,Bronx,10452.0,40.836711,-73.927231,4.0,16.0,199.0,2003268.0,2025140056.0,Highbridge                                                                 
55,EMS Station 26,1264 Boston Road,Bronx,10456.0,40.830637,-73.900986,3.0,17.0,151.0,2004749.0,2026630022.0,Morrisania-Melrose                                                         
56,Engine 73/Ladder 42/Battalion 26,655 Prospect Avenue,Bronx,10455.0,40.815233,-73.903418,1.0,17.0,79.0,2094318.0,2026750033.0,Melrose South-Mott Haven North                                             
57,Engine 94/Ladder 48/Battalion 3,1226 Seneca Avenue,Bronx,10474.0,40.818659000000004,-73.888853,2.0,17.0,11502.0,2006440.0,2027620054.0,Hunts Point                                                                
58,Engine 42,1781 Monroe Avenue,Bronx,10457.0,40.846283,-73.906532,5.0,15.0,22901.0,2007448.0,2027970035.0,Mount Hope                                                                 
59,Engine 43/Ladder 59,1901 Sedgwick Avenue,Bronx,10453.0,40.854413,-73.917148,5.0,16.0,247.0,2009252.0,2028810140.0,University Heights-Morris Heights                                          
60,Rescue 3,1655 Washington Avenue,Bronx,10457.0,40.841012,-73.90145799999999,3.0,16.0,167.0,2117925.0,2029050030.0,Claremont-Bathgate                                                         
61,"Engine 46, Ladder 27",460 Cross Bronx Expressway,Bronx,10457.0,40.844121,-73.900366,6.0,15.0,165.0,2009509.0,2029070010.0,Claremont-Bathgate                                                         
62,"Bronx Borough Command, District Office 6 & 7 ",451 East 176th Street,Bronx,10457.0,40.84622,-73.899437,6.0,15.0,395.0,2009541.0,2029090040.0,Claremont-Bathgate                                                         
63,Engine 82/Ladder 31,1213 Intervale Avenue,Bronx,10459.0,40.828518,-73.894951,3.0,17.0,125.0,2010447.0,2029730038.0,Morrisania-Melrose                                                         
64,Engine 48/Ladder 56/Division 7,2417 Webster Avenue,Bronx,10458.0,40.8594,-73.893546,5.0,15.0,39902.0,2011061.0,2030250025.0,Bedford Park-Fordham North                                                 
65,Engine 88/Ladder 38,2225 Belmont Avenue,Bronx,10457.0,40.851495,-73.88775,6.0,15.0,391.0,2086781.0,2030860038.0,Belmont                                                                    
66,Engine 45/Ladder 58/Battalion 18,925 East Tremont Avenue,Bronx,10460.0,40.84172,-73.883628,6.0,17.0,363.0,2013192.0,2031260012.0,East Tremont                                                               
67,Engine 75/Ladder 33/Battalion 19,2175 Walton Avenue,Bronx,10453.0,40.856116,-73.904179,5.0,14.0,239.0,2118039.0,2031860037.0,Fordham South                                                              
68,Engine 81/Ladder 46,3025 Bailey Avenue,Bronx,10463.0,40.876728,-73.903539,8.0,14.0,277.0,2000000.0,2032660001.0,Van Cortlandt Village                                                      
69,Engine 79/Ladder 37/Battalion 27,2928 Briggs Avenue,Bronx,10458.0,40.870433,-73.88679599999999,7.0,11.0,40702.0,2016936.0,2032970009.0,Bedford Park-Fordham North                                                 
70,  Engine 96/Ladder 54,1689 Story Avenue,Bronx,10473.0,40.822794,-73.86936800000001,9.0,18.0,46.0,2022629.0,2036600001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
71,Engine 64/Ladder 47/District Office 7,1214 Castle Hill Avenue,Bronx,10462.0,40.832288,-73.85111500000001,9.0,18.0,92.0,2094871.0,2038210007.0,Westchester-Unionport                                                      
72,Engine 90/Ladder 41,1843 White Plains Road,Bronx,10462.0,40.846244,-73.86650300000001,11.0,15.0,236.0,2043470.0,2040490049.0,Van Nest-Morris Park-Westchester Square                                    
73,Squad 61/Battalion 20,1518 Williamsbridge Road,Bronx,10461.0,40.844894000000004,-73.846663,11.0,13.0,200.0,2044205.0,2040820011.0,Van Nest-Morris Park-Westchester Square                                    
74,Engine 97,1454 Astor Avenue,Bronx,10469.0,40.859596999999994,-73.84421800000001,11.0,13.0,314.0,2050740.0,2043890023.0,Allerton-Pelham Gardens                                                    
75,Engine 62/Ladder 32,3431 White Plains Road,Bronx,10467.0,40.876176,-73.867003,12.0,12.0,374.0,2056968.0,2046280053.0,Williamsbridge-Olinville                                                   
76,Engine 38/Ladder 51,3446 Eastchester Road,Bronx,10469.0,40.877627000000004,-73.846678,12.0,12.0,386.0,2060238.0,2047230045.0,Eastchester-Edenwald-Baychester                                            
77,Engine 63/Ladder 39/Battalion 15,755 East 233rd Street,Bronx,10466.0,40.892803,-73.85548299999999,12.0,12.0,434.0,2068155.0,2049970013.0,Woodlawn-Wakefield                                                         
78,Engine 66/Ladder 61,21 Asch Loop West,Bronx,10475.0,40.870016,-73.830873,10.0,12.0,46201.0,2072355.0,2051410103.0,Co-op City                                                                 
79,Engine 89/Ladder 50,2924 Bruckner Boulevard,Bronx,10465.0,40.83332,-73.82741800000001,10.0,13.0,164.0,2076433.0,2054190125.0,Schuylerville-Throgs Neck-Edgewater Park                                   
80,Engine 72,3929 East Tremont Avenue,Bronx,10465.0,40.821377000000005,-73.818597,10.0,13.0,130.0,2077258.0,2054430170.0,Schuylerville-Throgs Neck-Edgewater Park                                   
81,Engine 70/Ladder 53,169 Schofield Street,Bronx,10464.0,40.845338,-73.78473699999999,10.0,13.0,516.0,2082474.0,2056420118.0,Pelham Bay-Country Club-City Island                                        
82,Engine 207/Ladder 110/Battalion 31/Division 11/Brooklyn Borough Command,172 Tillary Street,Brooklyn,11201.0,40.695983,-73.983159,2.0,35.0,15.0,3000252.0,3001340006.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
83,Engine 226,409 State Street,Brooklyn,11217.0,40.686982,-73.982876,2.0,33.0,41.0,3000562.0,3001720048.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
84,Engine 205/Ladder 118,74 Middagh Street,Brooklyn,11201.0,40.700171999999995,-73.992239,2.0,33.0,1.0,3001600.0,3002160022.0,Brooklyn Heights-Cobble Hill                                               
85,Engine 224,274 Hicks Street,Brooklyn,11201.0,40.692948,-73.996971,2.0,33.0,7.0,3002336.0,3002600036.0,Brooklyn Heights-Cobble Hill                                               
86,Engine 279/Ladder 131,252 Lorraine Street,Brooklyn,11231.0,40.672335,-73.999611,6.0,38.0,53.0,3008207.0,3004860018.0,Carroll Gardens-Columbia Street-Red Hook                                   
87,Engine 202/Ladder 101/Battalion 32,31 Richards Street,Brooklyn,11231.0,40.680489,-74.006522,6.0,38.0,59.0,3008254.0,3005120022.0,Carroll Gardens-Columbia Street-Red Hook                                   
88,Engine 228,436 39th Street,Brooklyn,11232.0,40.652045,-74.005218,7.0,38.0,84.0,3010534.0,3007090019.0,Sunset Park West                                                           
89,Engine 201/Ladder 114/Battalion 40,5113-5117 4th Avenue,Brooklyn,11220.0,40.645773,-74.01329,7.0,38.0,78.0,3414005.0,3007990003.0,Sunset Park West                                                           
90,Squad 1,788 Union Street,Brooklyn,11215.0,40.674858,-73.97649100000001,6.0,39.0,157.0,3020193.0,3009570023.0,Park Slope-Gowanus                                                         
91,Engine 239,395 4th Avenue,Brooklyn,11215.0,40.671828999999995,-73.987476,6.0,39.0,137.0,3021578.0,3009930005.0,Park Slope-Gowanus                                                         
92,Engine 220/Ladder 122,530-532 11th Street,Brooklyn,11215.0,40.665115,-73.981408,6.0,39.0,151.0,3026278.0,3010960025.0,Park Slope-Gowanus                                                         
93,Ladder 105,494 Dean Street,Brooklyn,11217.0,40.681357,-73.973561,8.0,35.0,161.0,3027813.0,3011360011.0,Prospect Heights                                                           
95,Rescue 2,1472 Bergen Street,Brooklyn,11213.0,40.675264,-73.934917,8.0,36.0,345.0,3035830.0,3013530014.0,Crown Heights North                                                        
97,Engine 227,423-25 Ralph Avenue,Brooklyn,11233.0,40.674797999999996,-73.922015,16.0,41.0,303.0,3038838.0,3014450002.0,Ocean Hill                                                                 
98,Engine 233/Ladder 176,25 Rockaway Avenue,Brooklyn,11233.0,40.682615999999996,-73.911687,16.0,37.0,369.0,3040990.0,3015120001.0,Ocean Hill                                                                 
99,Engine 217,940 Dekalb Avenue,Brooklyn,11221.0,40.692896000000005,-73.938066,3.0,36.0,281.0,3043215.0,3016010023.0,Stuyvesant Heights                                                         
100,Engine 222/Battalion 37,32 Ralph Avenue,Brooklyn,11221.0,40.689384999999994,-73.924006,3.0,41.0,387.0,3044596.0,3016330039.0,Stuyvesant Heights                                                         
101,Engine 214/Ladder 111,495 Hancock Street,Brooklyn,11233.0,40.684160999999996,-73.935957,3.0,36.0,275.0,3045695.0,3016540045.0,Stuyvesant Heights                                                         
102,Engine 230,701 Park Avenue,Brooklyn,11206.0,40.697792,-73.947874,3.0,36.0,257.0,3048373.0,3017300049.0,Bedford                                                                    
103,Engine 235/Battalion 57,206 Monroe Street,Brooklyn,11216.0,40.685357,-73.951464,3.0,36.0,245.0,3051323.0,3018170048.0,Bedford                                                                    
104,Ladder 102,850-56 Bedford Avenue,Brooklyn,11205.0,40.695634999999996,-73.956361,3.0,33.0,1237.0,3054771.0,3019000050.0,Bedford                                                                    
105,Marine 6,Building 292 Brooklyn Navy Yard,Brooklyn,11205.0,40.702562,-73.972211,2.0,33.0,543.0,3000000.0,3020230001.0,park-cemetery-etc-Brooklyn                                                 
106,Engine 210,160 Carlton Avenue,Brooklyn,11205.0,40.692758000000005,-73.972774,2.0,35.0,183.0,3058296.0,3020720033.0,Fort Greene                                                                
107,Engine 211/Ladder 119,26 Hooper Street,Brooklyn,11249.0,40.701506,-73.962398,1.0,33.0,539.0,3060298.0,3022030016.0,Williamsburg                                                               
108,Engine 221/Ladder 104,161 South 2nd Street,Brooklyn,11211.0,40.712978,-73.961259,1.0,34.0,551.0,3062972.0,3024060035.0,North Side-South Side                                                      
109,Engine 216/Ladder 108/Battalion 35,187 Union Avenue,Brooklyn,11211.0,40.706024,-73.950317,1.0,34.0,527.0,3063633.0,3024650100.0,North Side-South Side                                                      
110,Engine 238/Ladder 106,205 Greenpoint Avenue,Brooklyn,11222.0,40.730511,-73.95105600000001,1.0,33.0,579.0,3064786.0,3025600050.0,Greenpoint                                                                 
111,Engine 229/Ladder 146,75-77 Richardson Street,Brooklyn,11211.0,40.718405,-73.949027,1.0,33.0,515.0,3067898.0,3027220028.0,North Side-South Side                                                      
112,Engine 206,1201 Grand Street,Brooklyn,11211.0,40.715146999999995,-73.92795600000001,1.0,34.0,449.0,3070506.0,3029290053.0,East Williamsburg                                                          
